000026-0-000,Actinokineospora_fastidiosa
001966-0-000,Abiotrophia_defectiva
006601-0-000,Abiotrophia_defectiva
02484-0-000,Abiotrophia_defectiva
63324-0-000,Abiotrophia_defectiva
63618-0-000,Abiotrophia_defectiva
63874-0-000,Abiotrophia_defectiva
64537-0-000,Abiotrophia_defectiva
64730-0-000,Abiotrophia_defectiva
000695-0-000,Acaricomes_phytoseiuli
006296-0-000,Acaricomes_phytoseiuli
007344-0-000,Acaricomes_phytoseiuli
010256-0-000,Acaricomes_phytoseiuli
013235-0-000,Acaricomes_phytoseiuli
018440-0-000,Acaricomes_phytoseiuli
019786-0-000,Acaricomes_phytoseiuli
64489-0-000,Acaricomes_phytoseiuli
64528-0-000,Acaricomes_phytoseiuli
000349-0-001,Acetanaerobacterium_elongatum
017590-0-000,Acetanaerobacterium_elongatum
63212-0-001,Acetanaerobacterium_elongatum
02719-0-000,Acetitomaculum_ruminis
64819-0-000,Acetitomaculum_ruminis
001719-0-001,Acetivibrio_cellulolyticus
017590-0-000,Acetivibrio_cellulolyticus
63148-0-001,Acetivibrio_cellulolyticus
63212-0-001,Acetivibrio_cellulolyticus
63327-0-000,Acetivibrio_cellulolyticus
004812-0-000,Acetobacter_aceti
009209-0-001,Acetobacter_aceti
011569-0-000,Acetobacter_aceti
026385-0-000,Acetobacter_aceti
026625-0-001,Acetobacter_aceti
026930-0-000,Acetobacter_aceti
02817-0-000,Acetobacter_aceti
02911-0-000,Acetobacter_aceti
02946-0-001,Acetobacter_aceti
46000-0-000,Acetobacter_aceti
63252-0-001,Acetobacter_aceti
63252-0-002,Acetobacter_aceti
63301-0-000,Acetobacter_aceti
64101-0-000,Acetobacter_aceti
64124-0-000,Acetobacter_aceti
64412-0-000,Acetobacter_aceti
64412-0-001,Acetobacter_aceti
64638-0-000,Acetobacter_aceti
64678-0-000,Acetobacter_aceti
64840-0-000,Acetobacter_aceti
65113-0-000,Acetobacter_aceti
65294-0-000,Acetobacter_aceti
65472-0-000,Acetobacter_aceti
65740-0-000,Acetobacter_aceti
65778-0-001,Acetobacter_aceti
65789-0-000,Acetobacter_aceti
46000-0-000,Acetobacter_cerevisiae
64101-0-000,Acetobacter_cerevisiae
64592-0-000,Acetobacter_cerevisiae
64678-0-000,Acetobacter_cerevisiae
64840-0-000,Acetobacter_cerevisiae
65778-0-001,Acetobacter_cerevisiae
46000-0-000,Acetobacter_cibinongensis
64101-0-000,Acetobacter_cibinongensis
65778-0-001,Acetobacter_cibinongensis
46000-0-000,Acetobacter_estunensis
64379-0-000,Acetobacter_estunensis
64678-0-000,Acetobacter_estunensis
64840-0-000,Acetobacter_ghanensis
65778-0-001,Acetobacter_ghanensis
64379-0-000,Acetobacter_indonesiensis
64678-0-000,Acetobacter_indonesiensis
64840-0-000,Acetobacter_indonesiensis
65778-0-001,Acetobacter_indonesiensis
009209-0-001,Acetobacter_lovaniensis
64379-0-000,Acetobacter_lovaniensis
65778-0-001,Acetobacter_lovaniensis
025775-0-000,Acetobacter_malorum
46000-0-000,Acetobacter_malorum
64101-0-000,Acetobacter_malorum
64678-0-000,Acetobacter_malorum
64840-0-000,Acetobacter_malorum
65778-0-001,Acetobacter_malorum
64101-0-000,Acetobacter_nitrogenifigens
64678-0-000,Acetobacter_nitrogenifigens
64840-0-000,Acetobacter_nitrogenifigens
65778-0-001,Acetobacter_nitrogenifigens
46000-0-000,Acetobacter_oeni
64101-0-000,Acetobacter_oeni
64840-0-000,Acetobacter_oeni
65778-0-001,Acetobacter_oeni
009209-0-001,Acetobacter_orientalis
65778-0-001,Acetobacter_orientalis
004820-0-000,Acetobacter_orleanensis
64840-0-000,Acetobacter_orleanensis
65778-0-001,Acetobacter_orleanensis
02911-0-000,Acetobacter_pasteurianus
02946-0-001,Acetobacter_pasteurianus
46000-0-000,Acetobacter_pasteurianus
64101-0-000,Acetobacter_pasteurianus
64412-0-001,Acetobacter_pasteurianus
64678-0-000,Acetobacter_pasteurianus
64840-0-000,Acetobacter_pasteurianus
65778-0-001,Acetobacter_pasteurianus
46000-0-000,Acetobacter_peroxydans
64678-0-000,Acetobacter_peroxydans
64840-0-000,Acetobacter_peroxydans
46000-0-000,Acetobacter_pomorum
63663-0-001,Acetobacter_pomorum
64101-0-000,Acetobacter_pomorum
64678-0-000,Acetobacter_pomorum
64840-0-000,Acetobacter_pomorum
65778-0-001,Acetobacter_pomorum
64678-0-000,Acetobacter_senegalensis
65778-0-001,Acetobacter_senegalensis
03054-0-001,Acetonema_longum
63186-0-003,Acetonema_longum
64221-0-003,Acetonema_longum
02531-0-000,Acholeplasma_laidlawii
02697-0-004,Acholeplasma_laidlawii
02823-0-000,Acholeplasma_laidlawii
02837-0-000,Acholeplasma_laidlawii
